,district,price,address,AdUpdateDate,Category,GrossSquareMeters,BuildingAge,NumberFloorsofBuilding,UsingStatus,EligibilityForInvestment,BuildStatus,TitleStatus,ItemStatus,NumberOfBathrooms,NumberOfWCs,AdCreationDate,Type,NetSquareMeters,NumberOfRooms,FloorLocation,HeatingType,CreditEligibility,InsideTheSite,StructureType,MortgageStatus,Swap,Balcony,PriceStatus,RentalIncome,NumberOfBalconies,BalconyType,HallSquareMeters,WCSquareMeters,IsItVideoNavigable?,Subscription,BathroomSquareMeters,BalconySquareMeters
0,adalar,"3,100,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Maden Mahallesi Satılık Daire']",24 Şubat 2022,Satılık,160 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,,,Eşyalı,2,,24 Şubat 2022,Konut,120 m2,3+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1,adalar,"1,600,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Maden Mahallesi Satılık Daire']",02 Mart 2022,Satılık,120 m2,5-10,3,Mülk Sahibi Oturuyor,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Eşyalı,1,1,21 Şubat 2022,Konut,100 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,,,,,,,,,
2,adalar,"18,500,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Maden Mahallesi Satılık Müstakil Ev']",11 Şubat 2022,Satılık,350 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,3,,11 Şubat 2022,Konut,300 m2,3+1,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
3,adalar,"9,500,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Adalar Satılık Bina', 'Maden Mahallesi Satılık Bina']",11 Şubat 2022,Satılık,550 m2,11-15,3,Mülk Sahibi Oturuyor,Bilinmiyor,İkinci El,,,4,,03 Şubat 2022,Konut,540 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Betonarme,,Yok,,Genel Fiyat,,,,,,,,,
4,adalar,"25,000,000TL","['Anasayfa', 'Satılık Köşk', 'İstanbul Satılık Köşk', 'Adalar Satılık Köşk', 'Maden Mahallesi Satılık Köşk']",19 Ocak 2022,Satılık,840 m2,21 Ve Üzeri,4,Boş,Bilinmiyor,İkinci El,,,3,,19 Ocak 2022,Konut,700 m2,8+ Oda,Düz Giriş,Isıtma Yok,Krediye Uygun,Hayır,Ahşap,,Yok,,Genel Fiyat,,,,,,,,,
5,adalar,"7,000,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Burgazada Mahallesi Satılık Müstakil Ev']",17 Ocak 2022,Satılık,200 m2,21 Ve Üzeri,2,Boş,Bilinmiyor,,,Boş,1,,17 Ocak 2022,Konut,170 m2,3+2,Düz Giriş,Isıtma Yok,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
6,adalar,"3,250,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Heybeliada Mahallesi Satılık Daire']",27 Şubat 2022,Satılık,400 m2,21 Ve Üzeri,3,Kiracı Oturuyor,,,,,5,,12 Ocak 2022,Konut,370 m2,8+ Oda,Bahçe Dublex,Sobalı,Krediye Uygun,Hayır,,,,,Genel Fiyat,12.000 TL,,,,,,,,
7,adalar,"2,850,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Heybeliada Mahallesi Satılık Daire']",22 Şubat 2022,Satılık,250 m2,21 Ve Üzeri,2,Boş,Bilinmiyor,,,Boş,2,,11 Ocak 2022,Konut,200 m2,5+1,Villa Tipi,Isıtma Yok,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
8,adalar,"8,350,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Nizam Mahallesi Satılık Müstakil Ev']",16 Aralık 2021,Satılık,360 m2,21 Ve Üzeri,2,Boş,Bilinmiyor,,Yok,Boş,2,,16 Aralık 2021,Konut,240 m2,5+1,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
9,adalar,"10,800,000TL","['Anasayfa', 'Satılık Köşk', 'İstanbul Satılık Köşk', 'Adalar Satılık Köşk', 'Burgazada Mahallesi Satılık Köşk']",16 Aralık 2021,Satılık,180 m2,21 Ve Üzeri,2,Boş,Bilinmiyor,,,,1,,16 Aralık 2021,Konut,140 m2,5 Oda,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,Ahşap,,Yok,,Genel Fiyat,,,,,,,,,
10,adalar,"2,200,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Adalar Satılık Daire', 'Maden Mahallesi Satılık Daire']",16 Aralık 2021,Satılık,125 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,,,Eşyalı,2,,16 Aralık 2021,Konut,100 m2,2+2,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
11,adalar,"1,000,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Adalar Satılık Bina', 'Heybeliada Mahallesi Satılık Bina']",09 Aralık 2021,Satılık,140 m2,21 Ve Üzeri,2,Boş,Bilinmiyor,,Yok,,2,,09 Aralık 2021,Konut,100 m2,2+1,Düz Giriş,Isıtma Yok,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
12,adalar,"8,250,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Nizam Mahallesi Satılık Müstakil Ev']",07 Aralık 2021,Satılık,260 m2,21 Ve Üzeri,3,Boş,Bilinmiyor,,,Boş,4,,07 Aralık 2021,Konut,240 m2,7+3,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
13,adalar,"4,885,000TL","['Anasayfa', 'Satılık Müstakil Ev', 'İstanbul Satılık Müstakil Ev', 'Adalar Satılık Müstakil Ev', 'Heybeliada Mahallesi Satılık Müstakil Ev']",19 Ocak 2022,Satılık,500 m2,21 Ve Üzeri,2,Kiracı Oturuyor,Bilinmiyor,,,Boş,4,,21 Kasım 2021,Konut,472 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
14,adalar,"34,550,000TLarrow_downward%3","['Anasayfa', 'Satılık Villa', 'İstanbul Satılık Villa', 'Adalar Satılık Villa', 'Heybeliada Mahallesi Satılık Villa']",12 Ocak 2022,Satılık,430 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,İkinci El,,Boş,3,2,12 Kasım 2021,Konut,350 m2,8+ Oda,Villa Tipi,Klimalı,Krediye Uygun,Hayır,,,Yok,,Birim Fiyat,,,,,,,,,
